name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
pbatard/rufus,32351,2011-11-19T19:12:05Z,2025-07-29T17:00:05Z,C,84,1,2511,2503
drawdb-io/drawdb,32319,2023-07-16T17:09:20Z,2025-08-19T17:03:27Z,JavaScript,0,232,240,157
ibraheemdev/modern-unix,32315,2021-01-12T00:50:14Z,2024-09-10T19:48:56Z,N/A,0,15,83,30
refinedev/refine,32281,2021-01-20T12:01:32Z,2025-08-21T15:25:21Z,TypeScript,1000,4425,1654,1622
pcottle/learnGitBranching,32269,2012-08-13T22:36:09Z,2025-08-21T22:01:34Z,JavaScript,0,606,516,467
google/material-design-lite,32266,2015-01-14T22:01:33Z,2025-03-11T00:13:36Z,HTML,14,655,2195,1813
gchq/CyberChef,32238,2016-11-28T10:34:07Z,2025-08-06T08:54:32Z,JavaScript,447,510,1058,626
SerenityOS/serenity,32225,2018-12-02T19:28:41Z,2025-08-20T23:28:54Z,C++,0,19525,4248,3522
explosion/spaCy,32215,2014-07-03T15:15:40Z,2025-05-28T15:28:05Z,Python,129,3590,5717,5550
beego/beego,32211,2012-02-29T02:32:08Z,2025-08-21T13:09:19Z,Go,42,1325,3374,3366
xinntao/Real-ESRGAN,32202,2021-07-19T03:23:30Z,2024-08-06T13:15:18Z,Python,10,21,726,171
CorentinTh/it-tools,32199,2020-04-05T11:50:24Z,2025-08-19T13:41:18Z,Vue,10,491,617,199
duckdb/duckdb,32189,2018-06-26T15:04:45Z,2025-08-21T14:46:21Z,C++,51,8206,6118,5661
lizongying/my-tv,32147,2023-12-04T12:18:39Z,2024-06-20T06:21:11Z,C,72,11,919,774
directus/directus,32140,2012-12-12T01:35:36Z,2025-08-21T20:14:52Z,TypeScript,342,8086,9359,9056
